instruction,output,url
"기업 규모별 납부 한도 및 산출기준은 전 부처가 모두 통일된 것인지? 부처 재량으로 할 수 없는지? 그리고, 상한은 감면을 포함한 개념인지?","전 부처 동일한 납부한도(중소 10%, 중견 20%, 대기업 40%) 및 납부기준(기술실시로 인한 수입의 중소 5%, 중견 10%, 대기업 20%)을 적용함. 이 경우 납부액 감면을 포함해서 납부금액이 상한을 넘지 않으면 됨",
기술기여도를 사전에 협약으로 약정하도록 되어 있는데 변경을 위한 절차는 따로 있는지?,"기술기여도는 기업과 전문기관 등 연구현장의 행정편의를 위해 도입된 제도로서 중앙행정기관의 장과 연구개발기관의 장이 협약으로 정하도록 되어있어, 추후 사회경제적 상황 등 환경변화에 따라 변경 가능함. 이 때 협약 당사자 모두가 협약에서 정하는 사유에 해당된다고 인정할 경우 변경 가능함",
기업에서 정부납부기술료를 주식 등으로 납부를 원할 경우 가능한 것인지?,"국가연구개발혁신법에서는 별도의 근거 규정이 없으므로, 부처에서 별도로 정하는 규정이 있을 경우 해당 부처의 연구개발사업 관련 규정을 따르면 되고, 부처에 별도의 규정이 없을 경우 부처 또는 전문기관과 사전 협의가 선행되어야 할 것으로 판단됨",
경상기술료 요율이 증가하여 결과적으로 정부납부기술료 부담이 가중될 우려가 있어 보이는데?,"정부납부기술료는 기존 정액기술료 한도(중소: 10%, 중견: 20%, 대: 40%)를 적용하고 있으며, 납부액 산출기준은 기존 경상기술료 방식의 대부분을 차지하는 착수기본료를 폐지하여서 경상기술료 요율 증가에 따라 정부납부기술료 부담이 증가되지 않을 것으로 판단됨",
국가연구개발혁신법 시행일 이전에 연구개발과제 협약을 체결한 연구개발성과 소유기관이 직접실시를 하려는 경우 정부납부기술료 납부방법은?,"혁신법 시행일(’21.1.1.)이전에 사업 공고 등을 통해 정부납부기술료에 대해 안내하고 연구개발과제 협약이 체결되어 연구개발성과 소유기관이 직접실시를 할 경우 혁신법 부칙 제2조(처분 등에 관한 일반적 경과조치)에 근거하여 협약(협약 당사자가 상호 동의할 경우 공고 포함)에 나와 있는 정부납부기술료 납부방식에 따라 납부하여야 함. 다만, 협약(협약 당사자가 상호 동의할 경우 공고 포함)에 납부금액 등 기술료 관련 내용이 구체적으로 없을 경우 등은 혁신법에 따른 정부납부기술료를 납부하여야 함",
"국가연구개발혁신법 시행 이후 3자실시에 의해 연구개발성과소유기관과 연구개발성과를 실시하려는 자와 기술 실시계약을 체결한 경우, 부칙 제4조에 따라 종전 규정을 적용할 수 있는지?","1. 경과조치 적용은 연구개발성과 실시계약의 체결 시점을 기준으로 하므로, 법 시행 이후 3자실시에 의해 실시계약을 체결하는 경우 종전 규정을 적용하기는 어려움
2. 다만, 혁신법 시행 전 실시계약을 체결한 경우에는 종전 규정에 따라 정부납부기술료를 납부",
국가연구개발과제 협약을 체결한 연구개발성과 소유기관이 직접실시와 제3자실시를 동시에 하는 경우 정부납부 기술료의 상한은?,"1. 연구개발성과소유기관이 기술실시계약을 체결하여 기술료를 징수하고 동시에 직접 연구개발성과 실시를 하여 수익이 발생한 경우, 국가연구개발혁신법 시행령 제38조와 제39조의 납부 방법을 따름
2. 이때, 합산된 납부액은 납부한도(중소 10%, 중견 20%, 대기업 40%)를 넘지 않으면 됨",
"연구개발성과소유기관이 연구개발성과를 실시하는 시점에 혁신법 시행령 제19조제1항에 따른 연구개발기관 규모의 구분에 대한 변경이 있는 경우, 납부액 산출기준 및 한도는?",국가연구개발혁신법 시행령 제38조와 제39조의 납부 산출기준 및 한도는 연구개발과제협약 시점의 시행령 제19조제1항 연구개발기관 구분을 기준으로 함,
국가연구개발혁신법 제정으로 연구시설?장비 관리와 관련하여 변경되는 사항은?,"국가연구개발혁신법 상에는 과제선정 및 협약 단계에서 ‘연구시설?장비 구축계획의 타당성 검토’사항을 정의하고 있으며, 세부적인 전주기 관리사항은 기존 ‘과학기술기본법’에서 위임하고 있는 지침내용을 따름",
연구시설?장비 관리?활용 세부사항은 어떤 내용이 포함되어야 하는지?,"‘연구개발계획서’ 양식(법 시행규칙 별지 제1호 서식)에 따라 ‘연구시설?장비 구축계획’ 및 ‘연구시설?장비 운영?활용계획’을 작성하는 것으로, 구축계획에는 장비명, 구축방식, 규격, 수량, 비용, 기간, 장소 등을 명시하고 활용 및 운영계획에는 명칭, 운영기간, 연간운영비용, 전담운영인력수, 활용계획, 설치장소 등을 기재하도록 되어 있음",
"출연연 기본사업 연구시설?장비 구입비(예산요구서 기준)에 미반영 된 3천만원 이상 1억원 미만의 연구시설?장비를 새로 구입하는 경우, 중앙행정기관의 장의 사전승인 없이 연구원 자체연구시설장비심의위원회 심의를 통해 구입이 가능한 지?","1. ‘연구개발비 사용기준 제73조 2항 1호’에 의거 정부출연기관 기본사업으로 구매하는 3천만원 이상 1억원 미만의 연구시설?장비의 구매 변경사항에 대해서는 중앙행정기관의 장의 승인을 필요로 하지 않음
2. 정부수탁사업으로 구매하는 연구시설?장비일 경우에는 사전에 과제계획서에 구매계획이 포함되어 연구개발과제평가단의 심의를 거쳐야 하고, 변경사항이 있을 경우 협약변경(중앙행정기관의 장 승인) 등의 절차를 거쳐야 하지만, 기본사업의 경우에는 이러한 중앙행정기관의 장 승인 절차에 대한 사항은 없음. 구입예산이 기본사업비 내 연구시설?장비비 비목에 계상이 되어 있고, 변경사항에 대해 자체연구시설장비심의위원회를 거치면 구입이 가능함",
"종전에는 동시수행 연구개발과제 수 산정 단위가 종전 ?공동관리규정? 제2조제3호에 따른 “세부과제”였는데, ’21년부터는 무엇인지","1. ?국가연구개발혁신법? 제2조제2호에 따른 “연구개발과제”임
2. 참고로, 종전 ?공동관리규정? 제2조제3호에 따른 “세부과제”는 ?국가연구개발혁신법? 제2조제2호에 따른 “연구개발과제”에 해당함",
"영 제64조에 따른 연구책임자로 간주되는 주관연구개발기관의 연구책임자는 총괄 주관기관만을 의미하는지, 세부 주관기관도 포함되는지 등 주관연구개발기관의 산정 기준은? (일부 부처의 통합형과제 등의 세부주관, 세부총괄 등의 구분)","1. 영 제64조에 따른 연구개발과제의 산정 기준은 법 제2조제2호에 따른 연구개발과제로서 협약의 단위가 되는 연구개발과제임
2. 따라서 종전의 총괄주관기관, 세부주관기관은 현행 혁신법에서는 모두 협약의 주체로서 주관연구개발기관이 되었다면 주관연구개발기관의 연구책임자로서 산정됨
3. 그러나 종전의 총괄주관기관만 주관연구개발기관이 되고, 세부주관기관은 공동연구개발기관으로 협약을 맺을 경우 총괄주관기관의 연구책임자만 주관기관의 연구책임자로서 산정되며, 종전의 세부주관기관 연구책임자는 공동연구개발 기관의 참여연구자로 산정됨",
연구개발과제의 3책5공 적용 또는 적용제외 여부 결정주체는 누구인지?,?국가연구개발혁신법 시행령? 제64조제1항 연구개발과제 수의 제한기준(3책5공) 내에서 제2항에 따라 부처가 소관 과제의 3책5공 적용 또는 적용제외 여부를 결정함,
?국가연구개발혁신법 시행령? 제64조제2항에 따른 3책5공 적용제외 가능 과제에 대해서는 반드시 3책5공 적용이 제외되는지?,과제가 ?국가연구개발혁신법 시행령? 제64조제2항에 따른 3책5공 적용제외 가능 과제에 해당하더라도 부처가 3책5공을 적용제외 하지 않는 경우에는 3책5공이 적용됨,
연구자가 참여연구자로서 5개의 과제를 수행하고 이 중 연구책임자로서 3개를 수행하고 있을 경우 추가로 신규과제 참여가 불가능한지?(모든 과제는 3책 5공을 적용함),"1. 연구자가 참여하려는 신규과제의 유형이 시행령 제64조제2항에 해당되어 소관 부처가 해당 신규과제에 대해 3책5공을 적용제외 할 경우에는 추가로 참여가 가능하며, 적용할 경우에는 참여가 불가함
* 단, 수행 중인 과제도 소관 부처의 재량에 따라 1책 혹은 1공만을 적용할 수 있으므로 각 부처로 적용 여부를 확인하여야 함
2. 종전 ?공동관리규정?은 3책5공을 연구자의 준수사항으로 규정하고 있었으나, ?국가연구개발혁신법?은 부처의 재량 사항으로 변경하여 규정하고 있음",
종전 협동연구개발기관의 책임자는 연구책임자 또는 참여연구자 중 어디에 해당하는지?,"1. 종전 ?공동관리규정? 제2조제3호에 따른 협동연구개발기관은 ?국가연구개발혁신법? 제2조제2항제1호에 따른 주관 연구개발기관에 해당됨
2. 따라서 종전 협동연구개발기관의 책임자는 연구책임자에 해당함
3. 다만 종전의 협동연구개발기관을 공동연구개발기관으로 하여 협약을 한 경우, 공동연구개발기관의 책임자는 연구자에 해당함",
공동연구개발기관의 책임자는 연구책임자 또는 참여연구자 중 어디에 해당하는지?,종전과 같이 연구책임자가 아닌 참여연구자에 해당함,
위탁연구개발기관의 책임자 또는 참여연구자도 3책5공이 적용되는지?,종전과 같이 3책5공이 적용되지 않음,
학생연구자도 3책5공을 적용받는지?,「국가연구개발혁신법」 제35조 및 시행령 제64조의 연구자에 「국가연구개발사업 연구개발비 사용기준」 제2조 14호 학생연구자도 포함되므로 시행령 제64조의 동시수행 과제 수 제한을 받음,
과기자문회의 심의로 3책5공 적용제외 가능 과제를 정하는 의미는?,"1. ?국가연구개발혁신법 시행령? 제64조제2항에 명시하지 않는 과제 중 연구수행 전념에 크게 저해하지 않거나 정책적 필요성이 높은 과제에 대해 사회적?경제적 긴급대응이 필요한 과제로 인정될 경우 3책5공 적용을 제외하기 위함임
2. ’22년도의 경우 소부장?코로나19?탄소중립?국민건강 및 안전 분야의 연구개발과제로서 부처에서 3책5공 적용제외가 필요하다고 인정하는 과제로서 3책5공을 최대치로 하고 있는 연구자가 ’21년 신규과제로 상기 분야의 과제를 신청하는 경우에 한하여 적용제외 가능함. 만약 1책을 하고 있는 연구자가 신규로 상기 분야의 과제를 신청할 경우 3책5공 적용 가능함. 또한 연평균 연구개발비 5천만원 이하 소규모 과제로서 소관부처에서 3책5공을 인정한 과제도 적용제외 가능함",
"비영리기관(대학, 출연연, 특정연, 전문생산기술연구소)-중소기업이 공동으로 수행하는 과제에 대해서는 3책5공 적용이 완화되었는데, 그 사유는?","비영리기관(대학, 출연연, 특정연, 전문생산기술연구소)과 중소기업 간 협력을 활성화하기 위한 조치로서 대학, 출연연, 특정연, 전문생산기술연구소의 연구자의 연구개발과제 수 계산에 대해서만 적용함",
"비영리기관(대학, 출연연, 특정연, 전문생산기술연구소)-중소기업이 공동으로 수행하는 과제 내에 해당 비영리 기관의 연평균 정부지원연구개발비가 3억원 이하이면, 다른 기관에 대해서도 3책5공 적용제외가 가능한지?","?국가연구개발사업 동시수행 연구개발과제 수 제한 기준? 제5조 본문에 따라 다른 기관의 연평균 연구개발비 규모에 상관없이 3책5공 적용제외가 가능합니다. 다만, 같은 조 단서에 따라 이 경우에도 연평균 정부지원연구개발비가 3억원을 초과하는 다른 기관에 대해서는 3책5공 적용이 가능합니다.",
"비영리기관(대학, 출연연, 특정연, 전문생산기술연구소)-중소기업이 공동으로 수행하는 과제의 경우 (종전) ‘해당 연도 정부출연금액이 3억원 이하인 연구개발과제’ → (변경) 연평균 정부지원연구개발비가 3억원 이하인 연구개 발기관이 있는 연구개발과제‘에서 연평균을 계산할 때 월할 계산이 가능한지?","연평균 계산은 회계연도 개수로 하며, 월할 계산하지 않습니다.(e.g 1차년도 2억원(4개월), 2차년도 5억원(12개월), 3차년도 2억원(8개월)인 경우, 연평균 정부출연금은 9억원/3(회계연도)=3억원)",
종전 3책5공 적용제외된 ‘해당연도 정부출연금액이 5천만 원 이하인 연구개발과제’가 현행 혁신법 시행령과 고시에서는 삭제되었는데 이에 대한 방안은 있는지?,과기자문회의 운영위원회 심의(’22.8.26)를 통해 ‘연평균 정부지원연구개발비 5천만 원 이하’ 연구개발과제에 대해 3책5공 적용제외가 가능하도록 하였음,
"하나의 과제에서 3책은 적용하고 5공은 적용하지 않거나, 3책은 적용하지 않고 5공은 적용할 수 있는지?",과제의 특성에 따라 소관 부처가 재량으로 가능함,
3책5공 기준을 위반할 경우 제재사유가 되는가?,"3책5공이 법령상 연구자의 의무로 규정된 것은 아니나, 협약으로 정한 경우 혁신법 제32조에 따라 협약에 따른 의무를 고의로 이행하지 아니하여 특별평가에 따라 과제가 변경·중단된 경우는 제재처분 대상이 될 수 있음",
"시행령과 고시에는 연구자 대상으로 동시수행 과제 수 제한이 있는데, 연구개발기관에 대한 과제 수 제한은 어떻게 가능한지?",?국가연구개발혁신법? 제35조제1항에 따라 연구개발기관에 대해서도 동시수행 과제 수 제한이 가능하므로 일부부처에서 기관단위로 과제 수 제한하는 규정은 유효함,
"시행령 제64조제2항에 따른 신규 과제는 새로 공모되는 과제를 말하는 것인지, 아니면 과제의 연구개발기간과 상관없이 참여연구자의 입장에서 신규로 참여하는 과제를 의미하는 것인지?",시행령 제64조제2항 및 매뉴얼에서 말하는 신규 과제는 참여연구자가 신규 참여할 때를 기준으로 하는 것이 아닌 공모 등을 통해 새롭게 선정되거나 지정되어 추진되는 신규 연구개발과제를 의미함,
"중소기업-비영리기관 공동과제의 경우 ‘연평균 정부지원연구개발비’가 기관이 여러 사업으로부터 수주하는 총 연구개발비 평균을 의미하는 것인지, 신청하는 하나의 연구개발과제 내에서 기관에게 할당되는 정부지원연구 개발비를 의미하는 것인지?","2. 연평균 정부지원연구개발비의 기준은 해당 기관이 여러 사업으로부터 수주하는 총 연구비의 연평균을 의미하는 것이 아닌, 해당 연구개발과제의 연구개발계획서 상 기관의 정부지원연구개발비의 연평균을 의미함
1. 혁신법 매뉴얼 은 ‘비영리기관-중소기업 공동과제 협약체결 시 계획서에 정부지원연구비를 연평균 3억원 이하로 지원받는 비영리연구개발기관이 수행하는 연구개발과제’로 명시하고 있음",
연구지원인력 및 연구근접지원인력이 국가연구개발혁신법 시행령 제64조(연구개발과제 수의 제한) 제1항의 과제 수 제한을 적용 받는지?,"국가연구개발혁신법 시행령 제64조에 따른 동시 수행 연구개발과제 수의 제한은 참여연구자 및 연구책임자에 해당하는 규정으로, 연구지원인력 및 연구근접지원인력은 동시에 수행할 수 있는 연구개발과제 수의 제한을 적용받지 않음",
과학기술 분야 연구개발과제의 경우 모든 과제에 대해 연구노트를 작성해야 하나?,연구노트 별도 작성 또는 보고서로 갈음 여부는 과제의 특성을 고려하여 과제 소관 부처(또는 전문기관)와 연구개발기관이 협약으로 정함,
위탁연구개발기관이 작성한 연구노트의 소유는 어떻게 되는지?,"1. 연구노트는 제품, 시설?장비, 지식재산권 등에 준하는 유형?무형의 연구개발성과로서 연구개발성과의 소유?관리에 대한 원칙이 적용됨
2. 즉, 연구노트 지침(고시) 제9조제1항은 연구노트 권리의 소유에 대한 기본 원칙을 표현하였고, 제2항은 연구노트에 대한 권리의 소유도 법 제16조에 따른다고 하여 연구개발성과의 소유?관리에 관한 기본원칙을 따름.
3. 따라서 위탁연구개발기관이 작성한 연구노트의 소유는 주관연구개발기관의 소유로 함",
연구노트 지침상 보존기간 30년은 장기인데 이렇게 정한 이유가 있는지?,"1. 연구개발기관이 특허분쟁에서 불이익을 받지 않도록 안내하기 위함임
2. 특허권의 존속기간이 20년이고 1차례 연장기간 5년, 과제종료 이후 한참을 지나 특허분쟁이 이뤄지는 점을 고려하여 30년을 원칙으로 함
3. 연구개발기관 자율적으로 과제의 유형에 따라 보존기간을 단축하는 등 달리 정할 수 있음",
연구노트 요건이 변화한 이유가 있는지?,"1. 연구노트 형식을 기존 서면·전자노트에서 영상, 음성, 사진 등 다양한 형식으로 완화하여 작성부담을 줄이고, 연구노트의 요건을 연구개발기관이 특성에 맞게 자체지침으로 정하도록 하여 효율적인 작성을 할 수 있도록 함
2. 다만, 연구개발기관은 연구자의 권익 보호 및 향후 활용을 위해 기록일과 기록자, 위·변조 여부를 확인할 수 있도록 자체지침을 마련하여야 함",
연구노트 보관에 물리적 어려움이 있는데 연구노트 보관?관리하는 담당부서 지정?운영이 꼭 필요한 것인지?,"1. 연구노트의 체계적?효율적 관리 및 활용을 위해서는 담당부서 지정?운영이 필요함
2. 연구노트 보관?관리의 어려움 경감 방법으로는 전자노트 활용, 자체규정에 따라 보존기간 단축 및 보존 가치가 없는 연구노트 폐기, 다수의 담당부서 지정 등이 있을 수 있음",
연구자가 참여 중이던 과학기술 분야 연구개발과제에 참여하지 않게 되거나 과제가 중단된 경우에도 연구노트를 담당부서에 제출해야 하는지?,이러한 경우에도 담당부서에 연구노트를 제출해야 함,
과학기술분야 연구개발과제 수행 시 연구개발비로 연구노트 비용처리가 가능한지?,"국가연구개발사업 수행 시 지급되는 연구개발비로 「국가연구개발혁신법 시행령 별표2」에 근거하여 연구노트 관련 구입비용, 사용비용, 유지보수비용을 사용할 수 있으며, 해당과제에 소요되는 비용은 직접비로, 연구개발과제에 공통적으로 소요되는 비용은 간접비로 계상가능",
혁신법 제정으로 연구윤리와 관련하여 연구개발기관에서는 무엇을 해야 하는지?,"1. 혁신법 제정됨에 따라 연구개발기관은 연구윤리에 관한 자체규정을 마련하여야 할 의무가 생깁니다. 연구윤리 자체규정은 혁신법 시행령 제58호 제1항의 각 호에 관한 사항을 포함하여야 함
2. 또한, 연구개발기관은 자체규정에 따라 기관 자체적으로 연구윤리 준수를 관리하여야 하고, 더불어 소속연구자와 지원인력 등에 대해 연구윤리 확보를 위한 지원을 실시하여야 함
3. 이와 관련하여 정부는 추후 연구지원체계평가를 통해 연구개발기관의 연구윤리 자체규정 운영현황을 점검하고 이를 평가결과에 반영할 계획임",
혁신법 제정으로 연구윤리와 관련하여 연구자는 무엇을 해야 하는지?,"혁신법 제정으로 연구자의 연구윤리 준수의무가 법에 명시됨에 따라 연구자는 연구윤리를 준수하고, 진실하고 투명하게 국가연구개발활동을 수행해야 할 의무가 발생합니다. 또한, 연구자는 소속한 연구개발기관의 연구윤리 자체규정도 준수하여야 합니다.",
혁신법에 따른 제재처분 적용 기준은?,"혁신법 부칙 제5조에 따라, 법 시행일(’21.1.1) 이후부터 발생하는 부정행위에 대해 혁신법에 따른 제재처분을 적용합니다. 단, 혁신법으로 달라진 제재처분의 절차(연구자권익보호위원회 절차 신설)에 관하여는 법 시행일(’21.1.1) 이후 부처에서 사전통지하는 제재처분부터 적용합니다.",
"제재처분 상한의 적용 기준은 어떻게 되는지? (연구자 1인을 기준으로 참여제한 총 10년, 제재부가금 500% 이상의 처분은 할 수 없는지?)",제재처분의 상한은 ‘1회 처분 시’를 기준으로 적용함. 동일한 연구자에 대하여도 각 개별 처분을 기준으로 상한 기준을 준수하면 됨,
"과정과 결과가 극히 불량한 경우에 제재처분을 한다면, 성실실패에 관한 규정은 사라지는 것인지? 과정의 극히 불량은 어떻게 평가하는지?","혁신법에서는 ‘연구개발과제의 과정과 결과가 극히 불량한 경우’를 제재사유로 두어, 결과만 불량한 경우는 제재 대상이 되지 않으므로 종전의 성실실패 규정은 별도로 두지 않습니다. 단, ‘과정’의 극히 불량 여부는 연구개발과제의 단계?최종평가 시 ‘결과’의 극히 불량 여부와 함께 평가하여야 함",
"혁신법 시행 이전에 이루어진 부정행위에 대해 제재처분을 하려는 경우, 참여제한 등의 기간은 어느 규정을 기준으로 하는지? 법 제33조에 따라 연구자권익보호위원회에 재검토를 요청하는 의견을 제출할 수 있는지?","1. 혁신법 시행 이전에 이루어진 부정행위는 종전 규정(과기기본법 및 공동관리규정, 개별부처의 제재처분 규정)에 따라 제재처분합니다.
2. 과기기본법에 따른 제재처분이나, 해당 처분의 사전통지일이 ’21.1.1이후인 경우에는 연구자권익보호위원회 재검토 요청 가능합니다.",
"중앙행정기관의 장은 연구자권익보호위원회의 검토 결과 등을 고려하여 제재처분의 종류와 수준을 결정할 때에 연구자권익보호위원회의 검토결과를 검토하는 별도의 위원회를 다시 구성해서 심의해야 하는 것인지, 연구자권익보호위원회의 검토결과를 수용하여 바로 통보해도 되는지? 위원회를 다시 구성해서 심의해야 한다면 재검토 요청 처리기간인 30일을 준수하는 것이 어려울 것으로 보임","1. 연구자권익보호위원회 검토결과를 고려하는 것에 대해 명확한 규정이 있지 않으므로, 별도 위원회를 다시 구성하여 심의하거나 위원회의 검토결과를 수용하여 그대로 통보하는 것 모두 가능합니다.
2. 처리기간(30일) 준수와 관련하여, 타 위원회 및 유사사례를 살펴본 결과 처리기간을 훈시규정으로 보아 기간을 도과하여 처리하는 경우가 있으며, 징계의결기한 등과 관련하여 기한 규정을 훈시적 규정으로 보고 처리기간을 도과하더라도 위법하거나 무효는 아니라고 판결한 대법원 판례가 존재함",
"부처별 개별규정에서 허용했던 제재부가금 또는 환수금의 분할납부, 납부기한 연장 등은 더 이상 할 수 없는 것인지?",혁신법 시행령 제63조 제2항에 따라 제재부가금 또는 환수금의 분할납부 및 납부기한 연장이 가능,
"참여제한 처분을 받으면, 기존에 수행 중이었던 과제에도 참여할 수 없는지?",참여할 수 없음. 혁신법 제34조 제1항에 따라 참여제한 처분을 받은 자는 처분 이후 모든 국가연구개발활동(연구지원은 제외)에서 참여를 제한함,
"‘기술료 미납’, ‘회수금 미납’ 의 경우 참여제한 기간이 ‘납부 시까지’ 인데, 이 경우에는 참여제한 기간을 어떻게 합산하는지?","참여제한 기간의 합산 시, ‘기술료 미납’, ‘회수금 미납’에 따른 ‘납부 시까지’는 합산에 포함하지 않음",
연구개발기관이 ‘연구부정 외 부정행위’에 관한 자체규정을 따로 두고 있지 않은 경우 해당 부정행위에 대해서는 어떻게 대응해야 하는지?,"‘연구부정 외 부정행위’에 관한 자체규정을 아직 마련하지 못하였거나, 마련 중으로 연구개발기관 자체적인 검증?조치가 불가한 상황이 확인된 경우에는, 혁신법 제31조 제3항에 따라 중앙행정기관(전문기관)이 직접 검증?조치를 실시해야 함",
정부지원연구개발비 기준이 변경되었는데 계속과제에는 어떻게 적용되는지?,"1. 혁신법 및 하위규정 제정으로 정부가 지원해야 하는 연구개발비 비율이 아닌 정부가 지원할 수 있는 연구개발비 비율의 최댓값이 상향조정된 것임
2. 종전의 공동관리규정에 따른 정부지원연구개발비 비율은 혁신법 시행령에 따른 정부지원연구개발비 비율의 범위 내에 있으므로, 정부지원연구개발비 비율을 반드시 조정할 필요는 없음
3. 다만, 부처와 연구개발기관 간 협의를 통해 변경된 기준에 따라 정부지원연구개발비 비율을 상향조정 할 수 있음",
하나의 연구개발과제에 여러 기관이 참여하는 경우 각 기관이 부담해야하는 연구개발비는 어떻게 계산하는지?,"연구개발기관별로, 그 기관이 수행하는 연구개발비 부분에 해당하는 비율만큼 정부가 지원할 수 있음(e.g. 연구개발과제 연구개발비(총액) : 10억원 중, A기관(대 기 업) : 5억원 수행(정부지원연구개발비는 최대 2.5억까지 A기관에 지원), B기관(중견기업) : 3억원 수행(정부지원연구개발비는 최대 2.1억까지 B기관에 지원), C기관(중소기업) : 2억원 수행(정부지원연구개발비는 최대 1.5억까지 C기관에 지원))",
연구개발기관이 연구개발비를 부담하는 경우 부처(전문기관)에 언제까지 납입하여야 하는지?,"해당 연구개발과제의 연도별 연구개발기간이 종료되기 3개월 전까지 납부하는 것이 원칙이며, 중앙행정기관의 장은 환경 변화 등을 고려하여 납부기간을 연장할 수 있음",
연구개발비 부담이 과도한 경우 낮출 수 있는 방법은?,"1. 협약에서 정한 기관부담연구개발비는 혁신법 시행령 별표 1에 해당하는 비율까지 조정할 수 있으며, 부처(전문기관)와 협의(승인) 하에 협약 변경 필요
2. 부처가 시행령 별표 1의 범위를 넘어서는 연구개발비 지원을 하려는 경우 부처는 과기정통부와 해당 내용에 대하여 사전협의하는 것이 원칙이며, 긴급한 필요가 있는 경우에는 즉시 사후 통보하여야 함",
연구개발비 부담 납입기한을 준수하지 않은 경우 부처가 취할 수 있는 대응방안은?,"협약에 따른 의무를 이행하지 아니한 것이므로, 특별평가를 통해 연구개발과제 수행을 중단할 수 있고 제재처분의 대상이 될 수도 있음",
연구개발과제 수행 중 연구개발기관의 규모(중소?중견?대기업)가 변경된 경우 연구개발비 부담을 변경하여야 하는지?,"연구개발과제 수행 중 연구개발기관의 규모가 변경된 경우에도 연구개발비의 부담비율은 협약 체결 당시 정한 비율을 따르는 것이 원칙임. 다만, 연구개발비 부담비율을 변경할 필요가 있는 경우 중앙행정기관의 장(전문기관)과 연구개발기관은 상호 협의 하에 협약 변경을 통하여 연구개발기관의 연구개발비 부담을 변경할 수 있음",
국가연구개발사업 연구개발비 사용기준 제36조에 따라 비영리기관이 연구개발비를 다른 기관?단체로 이관할 경우 간접비 적용 방법은?,"1. 연구개발비를 이관하는 비영리기관은 수정직접비 사용비율을 적용하여 간접비사용금액을 정산하고, 이관 받는 기관은 이관 받은 연구개발비 총액을 기준으로 이관시점*의 해당 연구개발기관의 간접비고시비율을 적용하여 간접비를 산출함
* 이관시점은 연구개발기관이 변경된 날(협약변경의 효력발생일자)로 함
(e.g. <연구개발비 이관 시 간접비고시비율에 따른 간접비 조정방법(예시)> 이관하는 기관 인정 간접비(A) = 직접비 사용금액 × 간접비 고시비율 ? 이관 받는 기관 인정 간접비(B) = (협약시점 직접비 - A기관 직접비 사용금액) × B기관 간접비고시비율 ? A + B < 협약시점의 간접비: 직접비로 전용
* 중앙행정기관의 장 직접비 증액 승인 불필요 ? A + B > 협약시점의 간접비: 협약시점의 간접비로 인정. 단, 사용기준 제73조에 따라 간접비고시비율 내 증액 가능(사전 승인사항)
2. (이관하는 기관의 간접비고시비율이 낮을 경우) 이관시점에 이관 기관의 간접비고시비율을 간접비비율로 적용 후, 남은 금액은 직접비로 전용
3. (이관 받는 기관의 간접비고시비율이 높을 경우) 사용기준 제36조에 따라 산출된 간접비 잔액을 이관하는 것이 원칙. 단, 사용기준 제73조에 따라 간접비고시비율 내 증액 가능(사전 승인사항)",
영리기관 및 비영리기관이 정부지원연구개발비를 지원받지 않고 공동연구개발기관으로 참여 가능한지?,"1. 공동연구개발기관이 영리기관인 경우에는 정부지원연구개발비를 지원받지 않고 기관부담연구개발비만으로 연구개발과제에 참여할 수 있으며, 비영리기관인 경우 정부지원연구개발비를 지원받지 않고 참여할 수 있습니다.
2. 정부지원연구개발비를 지원받지 않는 연구개발기관이 연구개발과제에 참여하기 위해서는 ‘기관부담연구개발비’ 또는 ‘그 외 기관·단체·개인이 지원하는 연구개발비’로 연구개발비를 구성하여야 합니다. 다만, 이 경우에도 연구개발기관으로서 의무를 준수하여야 하며, 연구개발비의 사용은 혁신법 및 하위 규정의 적용을 받음",
미지급인건비는 연구개발비인지?,"미지급인건비는 연구개발비(현금, 현물)에 포함되지 않으며, 연구개발비에서 인건비를 계상하지 아니하는 참여연구자가 있을 경우 연구수당 계상 시 이를 고려하기 위해 도입된 개념임",
연구개발비 사용계획의 변경의 경우 협약변경 승인 요청서를 첨부하도록 하는 방식으로 승인절차를 진행하여도 되는지?,"1. 「국가연구개발혁신법」 제11조제3항 및 동법 시행령 제14조제2항에 따라 말씀주신 연구개발비 사용에 대한 개괄적인 계획의 변경(간접비 및 연구수당 증액 등 승인사항은 제외), 연구개발과제를 수행하는 연구자(연구책임자 제외)의 변경 등 협약변경의 경미한 사항은 협약당사자 간 통보를 통해 변경할 수 있음
2. 향후 IRIS(통합정보시스템)의 구축이 완료되면 시행령 제14조제3항에 따라 시스템에 변경되는 정보를 입력하는 것만으로 통보가 가능하도록 지원할 예정임
3. IRIS(통합정보시스템)의 구축되기 전에는 한시적으로 부처별 과제지원시스템에 변경되는 정보를 입력하는 방법으로 통보가 가능함",
